j_nominativ,rod,j_genitiv,j_dativ,j_akuzativ,j_vokativ,j_lokativ,j_instrumental,m_nominativ,m_genitiv,m_dativ,m_akuzativ,m_vokativ,m_lokativ,m_instrumental
Bosanka,ženski,Bosanke,Bosanki,Bosanku,Bosanko,Bosanki,Bosankom,Bosanke,Bosanki,Bosankama,Bosanke,Bosanke,Bosankama,Bosankama
botaničar,muški,botaničara,botaničaru,botaničara,botaničaru,botaničaru,botaničarom,botaničari,botaničara,botaničarima,botaničare,botaničari,botaničarima,botaničarima
boca,ženski,boce,boci,bocu,boco,boci,bocom,boce,boca,bocama,boce,boce,bocama,bocama
bora,ženski,bore,bori,boru,boro,bori,borom,bore,bora,borama,bore,bore,borama,borama
botanika,ženski,botanike,botanici,botaniku,botaniko,botanici,botanikom,botanike,botanika,botanikama,botanike,botanike,botanikama,botanikama
brabonjak,muški,brabonjka,brabonjku,brabonjak,brabonjče,brabonjku,brabonjkom,brabonjci,brabonjaka,brabonjcima,brabonjke,brabonjci,brabonjcima,brabonjcima
brada,ženski,brade,bradi,bradu,brado,bradi,bradom,brade,brada,bradama,brade,brade,bradama,bradama
bocun,muški,bocuna,bocunu,bocun,bocun,bocunu,bocunom,bocuni,bocuna,bocunima,bocuna,bocuni,bocunima,bocunima
brašno,srednji,brašna,brašnu,brašno,brašno,brašnu,brašnom,brašna,brašna,brašnima,brašna,brašna,brašnima,brašnima
brojka,ženski,brojke,brojci,brojku,brojko,brojci,brojkom,brojke,brojki,brojkama,brojke,brojke,brojkama,brojkama
boraks,muški,boraksa,boraksu,boraks,borakse,boraksu,boraksom,boraksi,boraksa,boraksima,borakse,boraksi,boraksima,boraksima
bubnjar,muški,bubnjara,bubnjaru,bubnjara,bubnjaru,bubnjaru,bubnjarem,bubnjari,bubnjara,bubnjarima,bubnjara,bubnjari,bubnjarima,bubnjarima
budala,ženski,budale,budali,budalu,budalo,budali,budalom,budale,budala,budalama,budale,budale,budalama,budalama
breskva,ženski,breskve,breskvi,breskvu,breskvo,breskvi,breskvom,breskve,breskvi,breskvama,breskve,breskve,breskvama,breskvama
cement,muški,cementa,cementu,cement,cemente,cementu,cementom,cementi,cemenata,cementima,cemente,cementi,cementima,cementima
buka,ženski,buke,buci,buku,buko,buci,bukom,buke,buka,bukama,buke,buke,bukama,bukama
cifra,ženski,cifre,cifri,cifru,cifro,cifri,cifrom,cifre,cifri,ciframa,cifre,cifre,ciframa,ciframa
bubanj,muški,bubnja,bubnju,bubnja,bubnju,bubnju,bubnjem,bubnjevi,bubnjeva,bubnjevima,bubnjeve,bubnjevi,bubnjevima,bubnjevima
bukva,ženski,bukve,bukvi,bukvu,bukvo,bukvi,bukvom,bukve,bukvi,bukvama,bukve/i,bukve,bukvama,bukvama
ceh,muški,ceha,cehu,ceh,ceše,cehu,cehom,cehovi,cehova,cehovima,cehove,cehovi,cehovima,cehovima
budućnost,ženski,budućnosti,budućnosti,budućnost,budućnosti,budućnosti,budućnošću,budućnosti,budućnosti,budućnostima,budućnosti,budućnosti,budućnostima,budućnostima
centar,muški,centra,centru,centar,centre,centru,centrom,centri,centara,centrima,centre,centri,centrima,centrima
cestarina,ženski,cestarine,cestarini,cestarinu,cestarino,cestarini,cestarinom,cestarine,cestarina,cestarinama,cestarine,cestarine,cestarinama,cestarinama
Ciganin,muški,Ciganina,Ciganinu,Ciganina,Ciganine,Ciganinu,Ciganinom,Cigani,Cigana,Ciganima,Cigana,Cigani,Ciganima,Ciganima
buzdovan,muški,buzdovana,buzdovanu,buzdovan,buzdovane,buzdovanu,buzdovanom,buzdovani,buzdovana,buzdovanima,buzdovane,buzdovani,buzdovanima,buzdovanima
car,muški,cara,caru,cara,care,caru,carem,carevi,careva,carevima,careve,carevi,carevima,carevima
brod,muški,broda,brodu,brod,brode,brodu,brodom,brodovi,brodova,brodovima,brodove,brodovi,brodovima,brodovima
broj,muški,broja,broju,broj,broju,broju,brojem,brojevi,brojeva,brojevima,brojeve,brojevi,brojevima,brojevima
brzina,ženski,brzine,brzini,brzinu,brzino,brzini,brzinom,brzine,brzina,brzinama,brzine,brzine,brzinama,brzinama
bubreg,muški,bubrega,bubregu,bubreg,bubreže,bubregu,bubregom,bubrezi,bubrega,bubrezima,bubrege,bubrezi,bubrezima,bubrezima
cesija,ženski,cesije,cesiji,cesiju,cesijo,cesiji,cesijom,cesije,cesija,cesijama,cesije,cesije,cesijama,cesijama
cigara,ženski,cigare,cigari,cigaru,cigaro,cigari,cigarom,cigare,cigara,cigarama,cigare,cigare,cigarama,cigarama
cijena,ženski,cijene,cijeni,cijenu,cijeno,cijeni,cijenom,cijene,cijena,cijenama,cijene,cijene,cijenama,cijenama
briga,ženski,brige,brizi,brigu,brigo,brizi,brigom,brige,briga,brigama,brige,brige,brigama,brigama
bubamara,ženski,bubamare,bubamari,bubamaru,bubamaro,bubamari,bubamarom,bubamare,bubamara,bubamarama,bubamare,bubamare,bubamarama,bubamarama
centralizacija,ženski,centralizacije,centralizaciji,centralizaciju,centralizacijo,centralizaciji,centralizacijom,centralizacije,centralizacija,centralizacijama,centralizacije,centralizacije,centralizacijama,centralizacijama
carina,ženski,carine,carini,carinu,carino,carini,carinom,carine,carina,carinama,carine,carine,carinama,carinama
broncit,muški,broncita,broncitu,broncit,broncite,broncitu,broncitom,bronciti,broncita,broncitima,broncite,bronciti,broncitima,broncitima
dan,muški,dana,danu,dan,danu,danu,danom,dani,dana,danima,dane,dani,danima,danima
dabar,muški,dabra,dabru,dabra,dabru,dabru,dabrom,dabrovi,dabara,dabrovima,dabrove,dabrovi,dabrovima,dabrovima
cirkus,muški,cirkusa,cirkusu,cirkus,cirkuse,cirkusu,cirkusom,cirkusi,cirkusa,cirkusima,cirkuse,cirkusi,cirkusima,cirkusima
cjelina,ženski,cjeline,cjelini,cjeline,cjelino,cjelini,cjelinom,cjeline,cjelina,cjelinama,cjelina,cjeline,cjelinama,cjelinama
crijevo,srednji,crijeva,crijevu,crijeva,crijevo,crijevu,crijevom,crijeva,crijeva,crijevima,crijeva,crijeva,crijevima,crijevima
daska,ženski,daske,daski,dasku,dasko,dasci,daskom,daske,dasaka,daskama,daska,daske,daskama,daskama
cvijet,muški,cvijeta,cvijetu,cvijet,cvijete,cvijetu,cvijetom,cvjetovi,cvjetova,cvjetovima,cvjetove,cvjetovi,cvjetovima,cvjetovima
Dalmatinac,muški,Dalmatinca,Dalmatincu,Dalmatinca,Dalmatinče,Dalmatincu,Dalmatincem,Dalmatinci,Dalmatinaca,Dalmatincima,Dalmatince,Dalmatinci,Dalmatincima,Dalmatincima
darak,muški,darka,darku,darka,darče,darku,darkom,darci,daraka,darcima,daraka,darci,darcima,darcima
darčić,muški,darčića,darčiću,darčića,darčiću,darčiću,darčićem,darčići,darčića,darčićima,darčića,darčići,darčićima,darčićima
debata,ženski,debate,debati,debatu,debato,debati,debatom,debate,debata,debatama,debate,debate,debatama,debatama
deklinacija,ženski,deklinacije,deklinaciji,deklinaciju,deklinacijo,deklinaciji,deklinacijom,deklinacije,deklinacija,deklinacijama,deklinacije,deklinacije,deklinacijama,deklinacijama
delegacija,ženski,delegacije,delegaciji,delegaciju,delegacijo,delegaciji,delegacijom,delegacije,delegacija,delegacijama,delegacije,delegacije,delegacijama,delegacijama
demobilizacija,ženski,demobilizacije,demobilizaciji,demobilizaciju,demobilizacijo,demobilizaciji,demobilizacijom,demobilizacije,demobilizacija,demobilizacijama,demobilizacije,demobilizacije,demobilizacijama,demobilizacijama
demodulator,muški,demodulatora,demodulatoru,demodulator,demodulatore,demodulatoru,demodulatorom,demodulatori,demodulatora,demodulatorima,demodulatore,demodulatori,demodulatorima,demodulatorima
demokracija,ženski,demokracije,demokraciji,demokraciju,demokracijo,demokraciji,demokracijom,demokracije,demokracija,demokracijama,demokracije,demokracije,demokracijama,demokracijama
cilj,muški,cilja,cilju,cilj,cilju,cilju,ciljem,ciljevi,ciljeva,ciljevima,ciljeve,ciljevi,ciljevima,ciljevima
demagog,muški,demagoga,demagogu,demagoga,demagože,demagogu,demagogom,demagozi,demagoga,demagozima,demagoge,demagozi,demagozima,demagozima
citologija,ženski,citologije,citologiji,citologiju,citologijo,citologiji,citologijom,citologije,citologija,citologijama,citologije,citologije,citologijama,citologijama
crta,ženski,crte,crti,crtu,crto,crti,crtom,crte,crta,crtama,crte,crte,crtama,crtama
crvendać,muški,crvendaća,crvendaću,crvendaća,crvendaću,crvendaću,crvendaćem,crvendaći,crvendaća,crvendaćima,crvendaće,crvendaći,crvendaćima,crvendaćima
cura,ženski,cure,curi,curu,curo,curi,curom,cure,cura,curama,cure,cure,curama,curama
deflacija,ženski,deflacije,deflaciji,deflaciju,deflacijo,deflaciji,deflacijom,deflacije,deflacija,deflacijama,deflacije,deflacije,deflacijama,deflacijama
cipela,ženski,cipele,cipeli,cipelu,cipelo,cipeli,cipelom,cipele,cipela,cipelama,cipele,cipele,cipelama,cipelama
ciklosilikat,muški,ciklosilikata,ciklosilikatu,ciklosilikat,ciklosilikatu,ciklosilikatu,ciklosilikatom,ciklosilikati,ciklosilikata,ciklosilikatima,ciklosilikate,ciklosilikati,ciklosilikatima,ciklosilikatima
disk,muški,diska,disku,disk,disku,disku,diskom,diskovi,diskova,diskovima,diskova,diskovi,diskovima,diskovima
demonstracija,ženski,demonstracije,demonstraciji,demonstraciju,demonstracijo,demonstraciji,demonstracijom,demonstracije,demonstracija,demonstracijama,demonstracije,demonstracije,demonstracijama,demonstracijama
djed,muški,djeda,djedu,djeda,djede,djedu,djedom,djedovi,djedova,djedovima,djedove,djedovi,djedovima,djedovima
dokoljenica,ženski,dokoljenice,dokoljenici,dokoljenicu,dokoljenico,dokoljenici,dokoljenicom,dokoljenice,dokoljenica,dokoljenicama,dokoljenice,dokoljenice,dokoljenicama,dokoljenicama
dijeta,ženski,dijete,dijeti,dijetu,dijeto,dijeti,dijetom,dijete,dijeta,dijetama,dijete,dijete,dijetama,dijetama
dim,muški,dima,dimu,dim,dime,dimu,dimom,dimovi,dimova,dimovima,dimove,dimovi,dimovima,dimovima
dlaka,ženski,dlake,dlaci,dlaku,dlako,dlaci,dlakom,dlake,dlaka,dlakama,dlake,dlake,dlakama,dlakama
dio,muški,dijela,dijelu,dijela,dio,dijelu,dijelom,dijelovi,dijelova,dijelovima,dijelova,dijelovi,dijelovima,dijelovima
dirigent,muški,dirigenta,dirigentu,dirigenta,dirigente,dirigentu,dirigentom,dirigenti,dirigenata,dirigentima,dirigente,dirigenti,dirigentima,dirigentima
dionica,ženski,dionice,dionici,dionicu,dionico,dionici,dionicom,dionice,dionica,dionicama,dionice,dionice,dionicama,dionicama
djelotvornost,ženski,djelotvornosti,djelotvornosti,djelotvornost,djelotvornosti,djelotvornosti,djelotvornosti,djelotvornosti,djelotvornosti,djelotvornostima,djelotvornosti,djelotvornosti,djelotvornostima,djelotvornostima
djevojčica,ženski,djevojčice,djevojčici,djevojčicu,djevojčice,djevojčici,djevojčicom,djevojčice,djevojčica,djevojčicama,djevojčice,djevojčice,djevojčicama,djevojčicama
dječak,muški,dječaka,dječaku,dječaka,dječače,dječaku,dječakom,dječaci,dječaka,dječacima,dječake,dječaci,dječacima,dječacima
dobrota,ženski,dobrote,dobroti,dobrotu,dobroto,dobroti,dobrotom,dobrote,dobrota,dobrotama,dobrote,dobrote,dobrotama,dobrotama
događaj,muški,događaja,događaju,događaj,događaju,događaju,događajem,događaji,događaja,događajima,događaje,događaji,događajima,događajima
dojam,muški,dojma,dojmu,dojam,dojme,dojmu,dojmom,dojmovi,dojmova,dojmovima,dojmove,dojmovi,dojmovima,dojmovima
desetoboj,muški,desetoboja,desetoboju,desetoboj,desetoboju,desetoboju,desetobojem,desetoboji,desetoboja,desetobojima,desetoboje,desetoboji,desetobojima,desetobojima
dijabaz,muški,dijabaza,dijabazu,dijabaz,dijabaze,dijabazu,dijabazom,dijabazi,dijabaza,dijabazima,dijabaze,dijabazi,dijabazima,dijabazima
dinosaur,muški,dinosaura,dinosauru,dinosaura,dinosaure,dinosauru,dinosaurom,dinosauri,dinosaura,dinosaurima,dinosaura,dinosauri,dinosaurima,dinosaurima
dioničar,muški,dioničara,dioničaru,dioničara,dioničaru,dioničaru,dioničarom,dioničari,dioničara,dioničarima,dioničare,dioničari,dioničarima,dioničarima
diorit,muški,diorita,dioritu,diorit,diorite,dioritu,dioritom,dioriti,diorita,dioritima,diorite,dioriti,dioritima,dioritima
disciplina,ženski,discipline,disciplini,disciplinu,disciplino,disciplini,disciplinom,discipline,disciplina,disciplinama,discipline,discipline,disciplinama,disciplinama
djelo,srednji,djela,djelu,djelo,djelo,djelu,djelom,djela,djela,djelima,djela,djela,djelima,djelima
djetlić,muški,djetlića,djetliću,djetlića,djetliću,djetliću,djetlićem,djetlići,djetlića,djetlićima,djetliće,djetlići,djetlićima,djetlićima
dogovor,muški,dogovora,dogovoru,dogovor,dogovore,dogovoru,dogovorom,dogovori,dogovora,dogovorima,dogovore,dogovori,dogovorima,dogovorima
dodir,muški,dodira,dodiru,dodir,dodire,dodiru,dodirom,dodiri,dodira,dodirima,dodire,dodiri,dodirima,dodirima
devalvacija,ženski,devalvacije,devalvaciji,devalvaciju,devalvacijo,devalvaciji,devalvacijom,devalvacije,devalvacija,devalvacijama,devalvacije,devalvacije,devalvacijama,devalvacijama
dijaftoreza,ženski,dijaftoreze,dijaftorezi,dijaftorezu,dijaftorezo,dijaftorezi,dijaftorezom,dijaftoreze,dijaftoreza,dijaftorezama,dijaftoreze,dijaftoreze,dijaftorezama,dijaftorezama
dijageneza,ženski,dijageneze,dijagenezi,dijagenezu,dijagenezo,dijagenezi,dijagenezom,dijageneze,dijageneza,dijagenezama,dijageneze,dijageneze,dijagenezama,dijagenezama
dimenzija,ženski,dimenzije,dimenziji,dimenziju,dimenzijo,dimenziji,dimenzijom,dimenzije,dimenzija,dimenzijama,dimenzije,dimenzije,dimenzijama,dimenzijama
djelovanje,srednji,djelovanja,djelovanju,djelovanje,djelovanje,djelovanju,djelovanjem,djelovanja,djelovanja,djelovanjima,djelovanja,djelovanja,djelovanjima,djelovanjima
doba,srednji,doba,dobu,doba,doba,dobu,dobom,doba,doba,dobima,doba,doba,dobima,dobima
dijadem,muški,dijadema,dijademu,dijadem,dijademe,dijademu,dijademom,dijademi,dijadema,dijademima,dijademe,dijademi,dijademima,dijademima
država,ženski,države,državi,država,država,državi,državom,države,država,državama,države/a,države,državama,državama
dokoljenka,ženski,dokoljenke,dokoljenki,dokoljenku,dokoljenko,dokoljenki,dokoljenkom,dokoljenke,dokoljenki,dokoljenkama,dokoljenke,dokoljenke,dokoljenkama,dokoljenkama
dostojanstvo,srednji,dostojanstva,dostojanstvu,dostojanstvo,dostojanstvo,dostojanstvu,dostojanstvom,dostojanstva,dostajanstava,dostojanstvima,dostojanstva,dostojanstva,dostojanstvima,dostojanstvima
domovina,ženski,domovine,domovini,domovinu,domovino,domovini,domovinom,domovine,domovina,domovinama,domovine,domovine,domovinama,domovinama
doticaj,muški,doticaja,doticaju,doticaj,doticaju,doticaju,doticajem,doticaji,doticaja,doticajima,doticaje,doticaji,doticajima,doticajima
društvo,srednji,društva,društvu,društvo,društvo,društvu,društvom,društva,društava,društvima,društva,društva,društvima,društvima
dualizam,muški,dualizma,dualizmu,dualizam,dualizme,dualizmu,dualizmom,dualizmi,dualizama,dualizmima,dualizme,dualizmi,dualizmima,dualizmima
došašće,srednji,došašća,došašću,došašće,došašće,došašću,došašćem,došašća,došašća,došašćima,došašća,došašća,došašćima,došašćima
dolazak,muški,dolaska,dolasku,dolazak,dolasku,dolasku,dolaskom,dolasci,dolazaka,dolascima,dolaske,dolasci,dolascima,dolascima
drek,muški,dreka,dreku,dreka,dreče,dreku,drekom,drekovi,drekova,drekovima,drekova,drekovi,drekovima,drekovima
droga,ženski,droge,drogi,drogu,drogo,drogi,drogom,droge,droga,drogama,droge,droge,drogama,drogama
dubioza,ženski,dubioze,dubiozi,dubiozu,dubiozo,dubiozi,dubiozom,dubioze,dubioza,dubiozama,dubioze,dubioze,dubiozama,dubiozama
duh,muški,duha,duhu,duha,duše,duhu,duhom,duhovi,duhova,duhovima,duhove,duhovi,duhovima,duhovima
dupin,ženski,dupina,dupinu,dupina,dupine,dupinu,dupinom,dupini,dupina,dupinima,dupine,dupini,dupinima,dupinima
dolerit,muški,dolerita,doleritu,dolerit,dolerite,doleritu,doleritom,doleriti,dolerita,doleritima,dolerite,doleriti,doleritima,doleritima
dolomit,muški,dolomita,dolomitu,dolomit,dolomite,dolomitu,dolomitom,dolomiti,dolomita,dolomitima,dolomite,dolomiti,dolomitima,dolomitima
doživljaj,muški,doživljaja,doživljaju,doživljaj,doživljaju,doživljaju,doživljajem,doživljaji,doživljaja,doživljajima,doživljaje,doživljaji,doživljajima,doživljajima
dušik,muški,dušika,dušiku,dušik,dušiče,dušiku,dušikom,dušici,dušika,dušicima,dušike,dušici,dušicima,dušicima
dunit,muški,dunita,dunitu,dunit,dunite,dunitu,dunitom,duniti,dunita,dunitima,dunite,duniti,dunitima,dunitima
dopuna,ženski,dopune,dopuni,dopunu,dopuno,dopuni,dopunom,dopune,dopuna,dopunama,dopune,dopune,dopunama,dopunama
drama,ženski,drame,drami,dramu,dramo,drami,dramom,drame,drama,dramama,drame,drame,dramama,dramama
duljina,ženski,duljine,duljini,duljinu,duljino,duljini,duljinom,duljine,duljina,duljinama,duljine,duljine,duljinama,duljinama
duša,ženski,duše,duši,dušu,dušo,duši,dušom,duše,duša,dušama,duše,duše,dušama,dušama
dužina,ženski,dužine,dužini,dužinu,dužino,dužini,dužinom,dužine,dužina,dužinama,dužine,dužine,dužinama,dužinama
doktrina,ženski,doktrine,doktrini,doktrinu,doktrino,doktrini,doktrinom,doktrine,doktrina,doktrinama,doktrine,doktrine,doktrinama,doktrinama
dopuštenje,srednji,dopuštenja,dopuštenju,dopuštenje,dopuštenje,dopuštenju,dopuštenjem,dopuštenja,dopuštenja,dopuštenjima,dopuštenja,dopuštenja,dopuštenjima,dopuštenjima
dostignuće,srednji,dostignuća,dostignuću,dostignuće,dostignuće,dostignuću,dostignućem,dostignuća,dostignuća,dostignućima,dostignuća,dostignuća,dostignućima,dostignućima
element,muški,elementa,elementu,element,elemente,elementu,elementom,elementi,elemenata,elementima,elemente,elementi,elementima,elementima
epoha,ženski,epohe,epohi,epohu,epoho,epohi,epohom,epohe,epoha,epohama,epohe,epohe,epohama,epohama
dugme,srednji,dugmeta,dugmetu,dugme,dugme,dugmetu,dugmetom,dugmad,dugmadi,dugmadi,dugmad,dugmadi,dugmadi,dugmadi
edikt,muški,edikta,ediktu,edikta,ediktu,ediktu,ediktom,edikti,edikta,ediktima,edikte,edikti,ediktima,ediktima
efikasnost,ženski,efikasnosti,efikasnosti,efikasnost,efikasnosti,efikasnosti,efikasnošću,efikasnosti,efikasnosti,efikasnostima,efikasnosti,efikasnosti,efikasnostima,efikasnostima
ekran,muški,ekrana,ekranu,ekran,ekrane,ekranu,ekranom,ekrani,ekrana,ekranima,ekrane,ekrani,ekranima,ekranima
ekstaza,ženski,ekstaze,ekstazi,ekstazu,ekstazo,ekstazi,ekstazom,ekstaze,ekstaza,ekstazama,ekstaze,ekstaze,ekstazama,ekstazama
epidemiologija,ženski,epidemiologije,epidemiologiji,epidemiologiju,epidemiologijo,epidemiologiji,epidemiologijom,epidemiologije,epidemiologija,epidemiologijama,epidemiologija,epidemiologije,epidemiologijama,epidemiologijama
epifora,ženski,epifore,epifori,epiforu,epiforo,epifori,epiforom,epifore,epifora,epiforama,epifore,epifore,epiforama,epiforama
epitet,ženski,epiteta,epitetu,epitet,epitete,epitetu,epitetom,epiteti,epiteta,epitetima,epitete,epiteti,epitetima,epitetima
ergativ,muški,ergativa,ergativu,ergativ,ergativ,ergativu,ergativom,ergativi,ergativa,ergativima,ergative,ergativi,ergativima,ergativima
eon,muški,eona,eonu,eon,eone,eonu,eonom,eoni,eona,eonima,eone,eoni,eonima,eonima
ep,muški,epa,epu,ep,epe,epu,epom,epovi,epova,epovima,epove,epovi,epovima,epovima
episkop,muški,episkopa,episkopu,episkop,episkope,episkopu,episkopom,episkopovi,episkopova,episkopovima,episkopove,episkopovi,episkopovima,episkopovima
episkopija,ženski,episkopije,episkopiji,episkopiju,episkopijo,episkopiji,episkopijom,episkopije,episkopija,episkopijama,episkopije,episkopije,episkopijama,episkopijama
elipsa,ženski,elipse,elipsi,elipsu,elipso,elipsi,elipsom,elipse,elipsa,elipsama,elipse,elipse,elipsama,elipsama
embriologija,ženski,embriologije,embriologiji,embriologiju,embriologijo,embriologiji,embriologijom,embriologije,embriologija,embriologijama,embriologije,embriologije,embriologijama,embriologijama
era,ženski,ere,eri,eru,ero,eri,erom,ere,era,erama,ere,ere,erama,erama
